date,open,high,low,close,volume
2025-07-01,492.54,494.10,487.09,488.15,19945400
2025-07-02,486.11,489.59,484.83,487.20,16319600
2025-07-03,489.90,496.17,489.53,494.89,13984800
2025-07-07,493.44,494.80,491.31,493.78,13981600
2025-07-08,493.30,494.25,490.19,492.68,11846600
2025-07-09,496.34,502.76,495.78,499.52,18659500
2025-07-10,499.06,500.44,493.81,497.51,16492100
2025-07-11,494.52,501.03,493.86,499.33,16459500
2025-07-14,497.55,499.98,497.06,499.03,12058800
2025-07-15,499.03,504.27,498.81,501.81,14927200
2025-07-16,501.18,502.70,497.91,501.61,15154400
2025-07-17,501.67,509.30,501.61,507.65,17503100
2025-07-18,510.40,510.56,503.41,506.01,21209700
2025-07-21,502.69,508.03,501.54,506.02,14066800
2025-07-22,506.92,507.15,501.27,501.27,13868600
2025-07-23,502.73,502.77,496.73,501.86,16396600
2025-07-24,504.74,509.60,503.28,506.83,16107000
2025-07-25,508.41,514.18,506.32,509.64,19125700
2025-07-28,510.01,510.92,506.08,508.44,14308000
2025-07-29,511.44,513.52,507.51,508.51,16469200
2025-07-30,511.09,511.86,505.40,509.17,26380400
2025-07-31,550.83,551.05,527.69,529.27,51617300
2025-08-01,530.76,531.55,516.73,519.96,28977600
2025-08-04,524.08,533.98,523.94,531.40,25349000
2025-08-05,532.92,533.04,523.06,523.57,19171600
2025-08-06,526.69,527.49,519.88,520.78,21355700
2025-08-07,522.63,523.91,513.45,516.71,16079100
2025-08-08,518.46,520.50,515.29,517.90,15531000
2025-08-11,518.16,523.41,515.60,517.64,20194400
2025-08-12,519.60,526.77,518.56,525.05,18667000
2025-08-13,527.89,528.48,515.25,516.45,19619200
2025-08-14,518.42,521.78,516.02,518.34,20269100
2025-08-15,518.63,521.93,514.97,516.05,25213300
2025-08-18,517.46,518.68,509.95,513.00,23760600
2025-08-19,510.92,511.08,504.52,505.73,21481000
2025-08-20,505.83,506.95,500.44,501.71,27723000
2025-08-21,500.52,504.44,499.56,501.07,18443300
2025-08-22,501.08,507.52,499.25,504.04,24324200
2025-08-25,503.44,504.99,500.95,501.09,21638600
2025-08-26,501.19,501.80,495.37,498.88,30835700
2025-08-27,498.84,504.10,496.75,503.55,17277900
2025-08-28,503.90,507.87,502.32,506.43,18015600
2025-08-29,505.46,506.39,501.32,503.50,20961600
2025-09-02,497.32,502.82,493.68,501.94,18128000
2025-09-03,500.62,504.59,499.16,502.17,16345100
2025-09-04,501.13,504.95,499.98,504.77,15509500
2025-09-05,505.87,508.75,489.27,491.88,31994800
2025-09-08,494.98,498.05,491.91,495.06,16771000
